All,Tous,module,Magento_AdminGws
None,Aucun,module,Magento_AdminGws
"Allowed Scopes","Portées autorisées",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Permissions insuffisantes pour supprimer l'article(s): %1.",module,Magento_AdminGws
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Certaines règles ont été modifiées mais n'ont pas été appliquées. Seuls les utilisateurs autorisés peuvent appliquer les règles.",module,Magento_AdminGws
"Please assign this entity to a store view.","Veuillez assigner cette entité à une vue magasin.",module,Magento_AdminGws
"You can create an order in an active store only.","Vous pouvez créer une commande dans un magasin actif seulement.",module,Magento_AdminGws
"Please assign this item to a store view.","S.V.P. lier cet article à une vue du magasin.",module,Magento_AdminGws
"You need more permissions to save this item.","Vous n'avez pas les droits requis pour sauvegarder cet élément.",module,Magento_AdminGws
"You need more permissions to delete this item.","Vous n'avez pas les droits requis pour supprimer cet élément.",module,Magento_AdminGws
"You need more permissions to view this item.","Vous n'avez pas les droits requis pour afficher cet élément.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Veuillez spécifier au moins un site web ou un groupe de magasins.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","Vous n'avez pas les droits requis pour définir tous les contextes d'un rôle.",module,Magento_AdminGws
"Incorrect website ID: %1","ID de site web incorrect : %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Vous n'avez pas les droits requis pour accéder au site web « %1 ».",module,Magento_AdminGws
"Incorrect store ID: %1","Id de magasin incorrect: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","Vous avez besoin de plus d'autorisations pour enregistrer ce paramètre.",module,Magento_AdminGws
"Role Scopes","Portées du rôle",module,Magento_AdminGws
Custom,Personnalisé,module,Magento_AdminGws
"Read Details","Lire les détails",module,Magento_AdminNotification
"Mark as Read","Marquer comme lu",module,Magento_AdminNotification
"Are you sure?","Êtes-vous sûr(e) ?",module,Magento_AdminNotification
Remove,Supprimer,module,Magento_AdminNotification
"Messages Inbox","Messages reçus",module,Magento_AdminNotification
"You have %1 new system messages","Vous %1 nouveaux messages système",module,Magento_AdminNotification
"You have %1 new system message","Vous %1 nouveaux messages système",module,Magento_AdminNotification
"Incoming Message","Message entrant",module,Magento_AdminNotification
close,Fermer,module,Magento_AdminNotification
"Read details","Lire les détails",module,Magento_AdminNotification
Notifications,Notifications,module,Magento_AdminNotification
"The message has been marked as Read.","Le message a bien été marqué comme lu.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Nous ne pouvons pas marquer la notification comme lue à cause d'une erreur.",module,Magento_AdminNotification
"Please select messages.","Veuillez sélectionner des messages.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Un total de %1 enregistrement(s) a(ont) été(s) marqué(s) comme lus.",module,Magento_AdminNotification
"The message has been removed.","Le message a bien été supprimé.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Nous n'avons pas pu supprimer le(s) message(s) en raison d'une erreur.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","%1 enregistrement(s) a (ont) bien été supprimé(s).",module,Magento_AdminNotification
"1 Hour","1 Heure",module,Magento_AdminNotification
"2 Hours","2 Heures",module,Magento_AdminNotification
"6 Hours","6 Heures",module,Magento_AdminNotification
"12 Hours","12 Heures",module,Magento_AdminNotification
"24 Hours","24 Heures",module,Magento_AdminNotification
critical,critique,module,Magento_AdminNotification
major,majeur,module,Magento_AdminNotification
minor,mineur,module,Magento_AdminNotification
notice,annonce,module,Magento_AdminNotification
"Wrong message type","Mauvais type de message.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>.","L'utilisation de {{base_url}} n'est pas recommandée dans un environnement de production. Nous vous recommandons de modifier cette valeur dans votre <a href=""%1"">configuration</a> Magento.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1.","Au moins un type de cache est invalide : %1.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","S.V.P. aller la page de <a href=""%1"">gestion de cache</a> et actualisation les types de cache.",module,Magento_AdminNotification
"One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details.","One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","La synchronisation du stockage des médias est terminée.",module,Magento_AdminNotification
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.",module,Magento_AdminNotification
"We appreciate our merchants' feedback. Please <a href=""#"" data-mage-init=%1>take our survey</a> and tell us about features you'd like to see in Magento.","We appreciate our merchants' feedback. Please <a href=""#"" data-mage-init=%1>take our survey</a> and tell us about features you'd like to see in Magento.",module,Magento_AdminNotification
"Close popup","Fermer le pop-up",module,Magento_AdminNotification
Close,Fermer,module,Magento_AdminNotification
"Critical System Messages","Messages système critique",module,Magento_AdminNotification
"Major System Messages","Messages système majeur",module,Magento_AdminNotification
"System messages","Message système",module,Magento_AdminNotification
Notification,Notification,module,Magento_AdminNotification
Cancel,Cancel,module,Magento_AdminNotification
Acknowledge,Acknowledge,module,Magento_AdminNotification
"See All (%1 unread)","See All (%1 unread)",module,Magento_AdminNotification
Actions,Actions,module,Magento_AdminNotification
Message,Message,module,Magento_AdminNotification
"Use HTTPS to Get Feed","Utiliser HTTPS pour récupérer le flux",module,Magento_AdminNotification
"Update Frequency","Fréquence de mise à jour",module,Magento_AdminNotification
"Last Update","Dernière mise à jour",module,Magento_AdminNotification
Severity,Importance,module,Magento_AdminNotification
"Date Added","Date d'ajout",module,Magento_AdminNotification
Remove,Supprimer,module,Magento_AdvancedCheckout
Cancel,Annuler,module,Magento_AdvancedCheckout
"Manage Shopping Cart",Réf.,module,Magento_AdvancedCheckout
"Create Order","Créer une commande",module,Magento_AdvancedCheckout
Back,Retour,module,Magento_AdvancedCheckout
